ticker,sector,DaysLow,DaysHigh,volume,OneyrTargetPrice,,
MMM,Industrials,158.34,159.84,1891113,160.38,0.384028786,1.5
ABT,Health Care,45.84,46.38,7140745,50.97,0.345110864,0.54
ABBV,Health Care,60.57,61.36,7490184,75.29,0.011106485,0.79
ACN,Information Technology,107.58,108.31,3405358,106.68,0.369215208,0.73
ACE,Financials,115.73,117,2155175,122.91,0.267704031,1.27
ATVI,Information Technology,36.61,38.03,8262190,41.46,0.162373448,1.42
ADBE,Information Technology,91.22,92.5,2134505,92.52,0.158442086,1.28
ADT,Industrials,34.05,34.5,1592947,41.25,0.242321367,0.45
AAP,Consumer Discretionary,162.55,165.1,733429,192.59,0.254437935,2.55
AES,Utilities,9.58,9.81,3591937,12.47,0.380513331,0.23
AET,Health Care,100.55,104.98,4983916,141.94,0.22734696,4.43
AFL,Financials,65.31,66.23,2977102,68.57,0.271725109,0.92
AMG,Financials,174.97,178.74,325577,221.44,0.307180942,3.77
A,Health Care,38.52,39.35,5447723,43.65,0.273040436,0.83
GAS,Utilities,62.03,62.27,581338,58.25,0.319062971,0.24
APD,Materials,139.06,140.79,640546,154.25,0.381941852,1.73
ARG,Materials,138.5,138.9,2695295,119.5,0.403864042,0.4
AKAM,Information Technology,55.36,58,6647146,70.32,0.152251726,2.64
AA,Materials,8.59,8.9,24866448,11.81,0.200659999,0.31
AGN,Health Care,306.55,315.2,7671800,363.93,0.357078425,8.65
ALXN,Health Care,172.61,176.63,907527,218.13,0.123512209,4.02
ALLE,Industrials,66.24,67,2378031,71.63,0.303205053,0.76
ADS,Information Technology,285.27,287.95,249896,336.45,0.098241558,2.68
ALL,Financials,63.16,63.92,3078548,69.43,0.278279788,0.76
GOOGL,Information Technology,764.1,779.32,2773944,845.13,0.102945259,15.22
GOOG,Information Technology,743,757.92,2213284,853.67,0.139813499,14.92
ALTR,Information Technology,52.69,52.77,2115263,50.88,0.148406522,0.08
MO,Consumer Staples,57.08,58.38,6329045,64,0.170850535,1.3
AMZN,Consumer Discretionary,657.57,668.87,3896135,726.82,0.512570663,11.3
AEE,Utilities,43.88,44.34,2942844,44.64,0.375060988,0.46
AAL,Industrials,42.05,42.71,5655961,53.69,0.337789504,0.66
AEP,Utilities,56.11,56.98,4264654,62.38,0.350877787,0.87
AXP,Financials,72.1,73.35,4429647,81.04,0.23777091,1.25
AIG,Financials,62.06,62.55,7346017,67.83,0.280144646,0.49
AMT,Financials,99.53,100.87,1326622,116.41,0.34574265,1.34
AMP,Financials,114.27,115.62,817787,134.7,0.272977963,1.35
ABC,Health Care,98.64,99.92,2299651,111.19,0.39884609,1.28
AME,Industrials,55.89,56.55,924563,60.83,0.441282926,0.66
AMGN,Health Care,159.55,161.34,2728011,184.55,0.183859725,1.79
APH,Industrials,54.36,54.98,1077271,58.8,,0.62
APC,Energy,58.49,59.85,4338024,83.97,0.193237424,1.36
ADI,Information Technology,59.22,60.21,3043954,67.48,0.259818304,0.99
AON,Financials,93.44,95.09,1213945,102.55,0.257331021,1.65
APA,Energy,48.81,50,2518542,55.21,0.241713216,1.19
AIV,Financials,37.18,37.65,1260988,41.99,0.379030589,0.47
AAPL,Information Technology,118.85,119.92,34287096,148.64,0.126928149,1.07
AMAT,Information Technology,17.99,18.36,13651139,20.53,0.176056018,0.37
ADM,Consumer Staples,35.6,36.82,9058166,45.56,0.105000439,1.22
AIZ,Financials,85.6,86.62,1107282,85.17,0.277436905,1.02
T,Telecommunications Services,33.55,33.78,20454634,37.12,0.286806173,0.23
ADSK,Information Technology,58.55,60.88,7665544,65.13,0.139347872,2.33
ADP,Information Technology,86.49,87.65,1800140,86.69,0.323364422,1.16
AN,Consumer Discretionary,63.09,63.74,793965,69.25,0.160329615,0.65
AZO,Consumer Discretionary,780.19,785.84,215162,784,0.336822173,5.65
AVGO,Information Technology,123.73,126.67,2805741,162.05,0.236561579,2.94
AVB,Financials,177.7,180.33,510051,192.64,0.275794917,2.63
AVY,Materials,65.73,66.65,567815,70.17,0.313520858,0.92
BHI,Energy,49.63,51.15,4404648,67.87,0.125815623,1.52
BLL,Materials,68.65,69.78,959945,77.43,0.374313457,1.13
BAC,Financials,17.59,17.83,56288301,18.73,0.378597161,0.24
BK,Financials,43.66,44.03,4505236,46.79,0.376617173,0.37
BCR,Health Care,181.78,188.72,585450,202.38,0.239163018,6.94
BXLT,Health Care,33.66,35.1,2670672,42.5,0.291394577,1.44
BAX,Health Care,38,38.56,6892352,39.7,0.226333958,0.56
BBT,Financials,38.38,38.8,6260150,41.96,0.157024537,0.42
BDX,Health Care,149.96,152.46,1302260,165.13,0.304521059,2.5
BBBY,Consumer Discretionary,53.32,54.01,2119491,65.78,0.300666648,0.69
BRK-B,Financials,135.96,137.42,2921332,,0.396722628,1.46
BBY,Consumer Discretionary,29.8,31.1,9011546,39.22,0.213210992,1.3
BIIB,Health Care,289.91,292.43,1723798,364.36,0.251920217,2.52
BLK,Financials,360.8,363.57,530360,376,0.239218822,2.77
HRB,Financials,36.61,37.09,2934628,41.7,0.352614499,0.48
BA,Industrials,149.12,150.59,3210204,162.83,0.249681555,1.47
BWA,Consumer Discretionary,42.61,43.47,2404873,49.29,0.49778169,0.86
BXP,Financials,124.78,126.63,1185761,143.61,0.271886386,1.85
BSX,Health Care,17.69,17.98,8357495,20.85,0.224137761,0.29
BMY,Health Care,67.16,69,6052230,71.61,0.269466493,1.84
BRCM,Information Technology,52.73,53.53,4454411,54.37,0.283674353,0.8
BF-B,Consumer Staples,105.29,107.43,395142,,0.33012217,2.14
CHRW,Industrials,68.03,69.55,728182,73.29,0.311345122,1.52
CA,Information Technology,28.09,28.53,2597946,29.59,0.061597982,0.44
CVC,Consumer Discretionary,30.9,31.37,2558709,33.43,0.143592528,0.47
COG,Energy,19.86,20.53,3577358,29.79,0.165899503,0.67
CAM,Energy,67.26,68.59,1785261,72.6,0.283711975,1.33
CPB,Consumer Staples,48.74,49.72,1774418,47.91,0.278873037,0.98
COF,Financials,78.88,80.17,3013640,91.38,0.372798455,1.29
CAH,Health Care,87.23,88.07,2400058,98.47,0.429497171,0.84
HSIC,Health Care,155.17,157.32,609631,157.08,0.212186345,2.15
KMX,Consumer Discretionary,56.6,57.65,1775766,73.53,0.089363996,1.05
CCL,Consumer Discretionary,51.41,51.94,4422997,57.29,0.469486003,0.53
CAT,Industrials,70.16,71.21,6495068,70.2,0.157730625,1.05
CBG,Financials,36.4,37.18,2128932,43,0.366122669,0.78
CBS,Consumer Discretionary,51.31,52.17,4299612,63,0.226739032,0.86
CELG,Health Care,113.24,115.55,3570811,145,0.226576774,2.31
CNP,Utilities,16.99,17.32,3251800,20.04,0.307928046,0.33
